ratio,decision,adjudicated_by,note,record_id_a,title_a,year_a,venue_a,doi_a,source_db_a,record_id_b,title_b,year_b,venue_b,doi_b,source_db_b,proposed_decision,proposed_confidence,proposed_doi_checked,proposed_evidence,proposed_case_for_same,proposed_case_for_different
0.9785,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","DataCite 10.11575/prism/50808 is types.resourceType='master thesis', a single creator (Karimi), Univ. Calgary PRISM. B is a four-author Physical Review A article (Crossref, 39 refs, vol 114 iss 1). A thesis and a journal article are distinct works; rule 4 covers preprint/journal, not thesis/journal.",RC-3514,The Role of Entanglement in Quantum Reservoir Computing with Coupled Kerr Nonlinear Oscillators,2025,arXiv,10.11575/prism/50808,arxiv|openalex,RC-3549,Role of entanglement in quantum reservoir computing with coupled Kerr nonlinear oscillators,2026,Physical Review A,10.1103/vwn7-y9vj,openalex,different,medium,1,"DataCite 10.11575/prism/50808 is a Calgary master's thesis, sole creator Karimi; 10.1103/vwn7-y9vj is a four-author Phys. Rev. A article. Record a's DOI points at the thesis, not the arXiv preprint its venue field claims",Title matches the arXiv preprint and record a is tagged venue=arXiv.,"The deposited DOI is a single-author master's thesis, a distinct work."
0.973,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","B (10.2139/ssrn.4705859) is Crossref type posted-content/subtype preprint; A is the Physica C journal-article (30 refs, article no. 1354522). Preprint/journal pair, resolved to the journal version per search-strategy.md §5 rule 4.",RC-2551,A new physical reservoir using the complex dynamics of electric fields in type-II superconductors containing pinning centers interacting with quantized magnetic flux lines,2024,Physica C Superconductivity,10.1016/j.physc.2024.1354522,openalex,RC-4016,A New Physical Reservoir Using the Complex Dynamics of Electric Fields in Type-Ii Superconductors Containing Pinning Centers Interacting with Quantized Flux Lines,2024,SSRN Electronic Journal,10.2139/ssrn.4705859,openalex,same,medium,1,10.2139/ssrn.4705859 is SSRN posted-content; 10.1016/j.physc.2024.1354522 same five authors plus Ueda,SSRN preprint later published in Physica C.,Published version adds an author; no Crossref preprint relation.
0.9714,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","A is a Crossref proceedings-article in 'Extended Abstracts of the 2024 SSDM' with 0 references; B is a Japanese J. Appl. Phys. article, 32 references, vol 64 iss 4 pp 04SP08. A conference extended abstract and a subsequent journal paper are separate publications.",RC-3396,The effects of dissipation in reservoir computing using spin qubit array,2024,,10.7567/ssdm.2024.ps-09-01,openalex,RC-6314,Effects of dissipation in reservoir computing using spin qubit array,2025,Japanese Journal of Applied Physics,10.35848/1347-4065/adbf9e,arxiv|openalex,different,medium,1,"10.7567/ssdm.2024.ps-09-01 is an SSDM extended abstract; 10.35848/1347-4065/adbf9e is a 2025 JJAP article. Same three authors, no Crossref relation",Identical author trio and title; JJAP paper is the special-issue write-up.,Extended abstract and full paper are separately citable.
0.9649,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","Two HAL conference-paper deposits by the same sole author, 2020 and 2021, with non-identical titles (the 2020 record appends '(Invited)'). Neither carries a DOI, so no registry record can separate or join them. Left as two records under the rule that an unmergeable pair stays separate: a wrongly merged duplicate silently deletes a work, a wrongly kept one remains visible. FLAGGED for the PI.",RC-0271,[Invited] Assessing electron transport through 2D molecule-nanoparticle networks for reservoir computing sensing,2021,HAL (Le Centre pour la Communication Scientifique Directe),,openalex,RC-0280,[Invited] Assessing electron transport through 2D molecule-nanoparticle networks for reservoir computing sensing (Invited),2020,HAL (Le Centre pour la Communication Scientifique Directe),,openalex,different,medium,,"HAL shows three separate COMM deposits by Vuillaume: hal-03253727 (SPIE 2020, the '(Invited)' record), hal-04552115 (EMRS 2021), hal-04552243 (ElecMol 2021)",Same sole author and invited-talk title.,HAL records talks at distinct conferences with separate IDs.
0.9576,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","Wiley cover feature. Both are Small vol 21 iss 48 with the same title; A carries 40 references, B carries 0 and its abstract is the cover blurb. A cover item is not a duplicate of the article and not a research article; see the not-primary note below.",RC-2125,Intrinsic Disordered Network in Multiferroic YMnO <sub>3</sub> Single Crystals for In‐Materio Physical Reservoir Computing Through Tuneable Domain‐Wall Structure,2025,Small,10.1002/smll.202506397,openalex,RC-3069,Intrinsic Disordered Network in Multiferroic YMnO <sub>3</sub> Single Crystals for In‐Materio Physical Reservoir Computing Through Tuneable Domain‐Wall Structure (Small 48/2025),2025,Small,10.1002/smll.71539,openalex,different,medium,1,10.1002/smll.202506397 is the article (38 referenced works); 10.1002/smll.71539 has the same 8 authors and volume/issue but ZERO referenced works and no pagination - the Wiley cover-feature record,"Same authors, journal, volume, issue.",Cover-picture item with no references or pagination. HOUSE POLICY NEEDED.
0.9495,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05",A (10.5194/egusphere-egu25-14726) is a Crossref posted-content EGU meeting abstract with 0 references; B is an arXiv preprint. Titles also differ ('Efficient River Discharge Prediction' vs 'River Discharge Prediction').,RC-2569,Multi-Model Ensemble and Reservoir Computing for Efficient River Discharge Prediction in Ungauged Basins,2025,,10.5194/egusphere-egu25-14726,openalex,RC-5934,Multi-Model Ensemble and Reservoir Computing for River Discharge Prediction in Ungauged Basins,2025,arXiv (Cornell University),10.48550/arxiv.2507.18423,arxiv|openalex,different,medium,1,10.5194/egusphere-egu25-14726 is an EGU General Assembly 2025 abstract; arXiv 2507.18423 is the full HYPER paper,"Same two authors, year and HYPER method.",An EGU meeting abstract is separately citable from the full paper.
0.9478,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","B (10.2139/ssrn.4016958) is Crossref posted-content/preprint with 37 references; A is the Chaos, Solitons & Fractals article, 45 references, article no. 112442. Preprint/journal pair, resolved to the journal version.",RC-1047,State observer-based fuzzy echo state network sliding mode control for uncertain strict-feedback chaotic systems without backstepping,2022,Chaos Solitons & Fractals,10.1016/j.chaos.2022.112442,openalex,RC-3596,State Observer-Based Fuzzy Echo State Network Sliding Mode Control for Uncertain Strict-Feedback Nonlinear Systems Without Backstepping,2022,SSRN Electronic Journal,10.2139/ssrn.4016958,openalex,same,medium,1,"Crossref: 10.1016/j.chaos.2022.112442 and SSRN 10.2139/ssrn.4016958 share three authors, 2022, both Elsevier BV",Same authors and publisher pipeline; retitled 'nonlinear'->'chaotic' at publication.,Meaning-bearing word swap; no abstract available for the SSRN record.
0.9461,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","Both are Zenodo deposits of one technical note by the same sole author. A (zenodo.20669318) resolves live as Text/Technical note v1.2, IsVersionOf zenodo.20669317. B (zenodo.20263930) returns HTTP 410 Gone: a withdrawn deposit of the same document, not a second work.",RC-5005,Vacuum Intelligence Architecture Specification: Event-Driven Analog Memristor Optimal Power/Flow Solver Integration,2026,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.20669318,openalex,RC-5594,Vacuum Intelligence Architecture Specification: Event-Driven Analog Memristor Optimal Power/Flow Solver Integration (VIA-SPEC-001),2026,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.20263930,openalex,uncertain,medium,1,"Two separately minted Zenodo deposits 25 days apart under DIFFERENT concept DOIs, same sole author. 10.5281/zenodo.20263930 404s in both DataCite and Zenodo APIs","One author, one title, one year; suffix is an internal document number.","Different concept DOIs, each independently citable; earlier record unretrievable."
0.9451,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05",The two records carry the same abstract verbatim and the same author set (order differs). B (10.31223/osf.io/fbxns) resolves to EarthArXiv and is Crossref posted-content; A is the American Physical Society meeting record for the same study. One work indexed twice.,RC-0009,"Data-driven prediction of a multi-scale Lorenz 96 chaotic system using a hierarchy of deep learning methods: Reservoir computing, ANN, and RNN-LSTM",2019,Bulletin of the American Physical Society,,openalex,RC-1607,"Data-driven prediction of a multi-scale Lorenz 96 chaotic system using deep learning methods: Reservoir computing, ANN, and RNN-LSTM",2019,,10.31223/osf.io/fbxns,openalex,different,medium,1,"10.31223/osf.io/fbxns is a 2019 EarthArXiv posted-content; record a has no DOI and sits in Bulletin of the American Physical Society, an APS meeting abstract",Same authors and year; titles differ only by 'a hierarchy of'.,APS meeting abstract vs EarthArXiv preprint are separately citable.
0.9384,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","Same SPE manuscript number in both DOIs: 10.2118/223997-ms is the conference manuscript (17 refs) and 10.2118/223997-pa the peer-reviewed SPE Journal article (36 refs, pp 6457-6471). SPE's -ms/-pa pair is one study in two forms; resolved to the journal version.",RC-4982,A Data Mining Approach to Assess Field Scale CO2 EOR and Sequestration Performance Correlated to Geological and Reservoir Characteristics,2025,,10.2118/223997-ms,openalex,RC-4984,A Data Mining Approach to Assess Field Scale CO2 Enhanced Oil Recovery and Sequestration Performance Correlated to Geological and Reservoir Characteristics,2025,SPE Journal,10.2118/223997-pa,openalex,uncertain,medium,1,10.2118/223997-ms is the SPE conference paper; 10.2118/223997-pa is the SPE Journal article. Same SPE paper number 223997 and authors,Same SPE paper number and authors; -PA is the peer-reviewed version.,SPE -MS and -PA are separately citable and the journal version is typically extended. AMBIGUOUS CONFERENCE-VS-JOURNAL CASE.
