record_id,no_abstract,title,abstract,doi,eligible,family_abstract,family,family_symmetric,subclass,hybrid,reason,minutes
RC-1144,,Physical Reservoir Computing for Real‐Time Electrocardiogram Arrhythmia Detection Through Controlled Ion Dynamics in Electrochemical Random‐Access Memory,"Abstract From the perspective of developing low‐power mobile healthcare devices capable of real‐time electrogram diagnosis, memristor‐based physical reservoir computing (PRC) offers a promising alternative to conventional deep neural network (DNN)‐based systems. Here, real‐time electrocardiogram (ECG) monitoring and arrhythmia detection are demonstrated using electrochemical random‐access memory (ECRAM)‐based PRC. ECRAM devices provide the millisecond‐range temporal resolution required for bio‐potential signals like ECG. Through material and process engineering, it is identified that higher ionic conductivity (σ ion ) in the electrolyte layer and lower ionic diffusivity (D ion ) in the channel layer are crucial for achieving non‐linear dynamics and fading memory characteristics. In addition, LaF 3 /WO x ‐based ECRAM exhibits low‐power operation (≈300 pW spike −1 ) with minimal cycle‐to‐cycle (CTC) variation (&lt;10%). Arrhythmia detection tests confirmed the feasibility of real‐time ECG monitoring, achieving a high classification accuracy of 93.04% with a 50‐fold reduction in training parameters compared to DNN‐based systems. Therefore, the developed LaF 3 /WO x ‐based ECRAM with engineering guidelines of ion dynamics makes a significant contribution to mobile healthcare systems for electrogram diagnosis.",10.1002/aelm.202400920,yes,unassignable,F1,,F1.6,,"PASS 1: unassignable. ECRAM devices with stated fading memory and non-linear dynamics, but the abstract never says how the state vector is built, and one device sampled repeatedly across a delay (F2.1) and a bank of separately addressed devices (F1.6) are both standard memristor-PRC designs. The substrate shortcut (memristor therefore F1) is forbidden by codebook Sec.0.1. PASS 2 picks F1.6, and the sentence that does it is in the arrhythmia section: the binary spike trains 'were fed in parallel to 15 ECRAM-based memristor nodes, with each node sequentially receiving the data over time', and 'each memristor node exhibits a unique response pattern based on its intrinsic dynamics and interaction with the input signal', with Figure 5a's caption calling each node 'an independent computational element'. No coupling between nodes is reported anywhere and there is no feedback loop, so the input-history dependence comes from each device's own ionic relaxation. That is R6 verbatim: F1, subclass F1.6, uncoupled dynamic nodes. NOT F2, despite the paper's own use of 'virtual nodes'. F2's discriminator is propagation delay around a feedback loop with the state sampled at N points across one delay period, and there is no delay line here - the 135 virtual nodes are 9 time samples of each of the 15 devices' own responses. Sec.2 step (ii) fires on the mechanism, not on the vocabulary, the same way step (iii) does not fire on the word 'memristor'. FOR EXTRACTION, two flags. R4: state_dim is reported two ways in one system, '15 physical nodes and 135 virtual nodes', which is a clean instance of the manuscript Sec.2.2 argument. D6: the device work is single-device measurement and the paper itself says 'array fabrication is necessary for high-density hardware implementation', so whether the ECG stream was ever presented to 15 real devices in task order at task rate is not settled in the main text and needs the Supporting Information - the E2/E3 call should not be made from Figure 5 alone. 93.04% on MIT-BIH against a 4-layer fully connected DNN, so the quantitative criterion is met. RETRIEVAL NOTE: Wiley Cloudflare-blocks automated access to this CC-BY article and no repository, preprint or PMC copy exists; the PDF was supplied through an institutional browser session.",46
RC-2087,,Energy-Efficient Edge and Cloud Image Classification with Multi-Reservoir Echo State Network and Data Processing Units,"In an era dominated by Internet of Things (IoT) devices, software-as-a-service (SaaS) platforms, and rapid advances in cloud and edge computing, the demand for efficient and lightweight models suitable for resource-constrained devices such as data processing units (DPUs) has surged. Traditional deep learning models, such as convolutional neural networks (CNNs), pose significant computational and memory challenges, limiting their use in resource-constrained environments. Echo State Networks (ESNs), based on reservoir computing principles, offer a promising alternative with reduced computational complexity and shorter training times. This study explores the applicability of ESN-based architectures in image classification and weather forecasting tasks, using benchmarks such as the MNIST, FashionMnist, and CloudCast datasets. Through comprehensive evaluations, the Multi-Reservoir ESN (MRESN) architecture emerges as a standout performer, demonstrating its potential for deployment on DPUs or home stations. In exploiting the dynamic adaptability of MRESN to changing input signals, such as weather forecasts, continuous on-device training becomes feasible, eliminating the need for static pre-trained models. Our results highlight the importance of lightweight models such as MRESN in cloud and edge computing applications where efficiency and sustainability are paramount. This study contributes to the advancement of efficient computing practices by providing novel insights into the performance and versatility of MRESN architectures. By facilitating the adoption of lightweight models in resource-constrained environments, our research provides a viable alternative for improved efficiency and scalability in modern computing paradigms.",10.3390/s24113640,yes,F1,F1,,,,"Multi-Reservoir Echo State Network on MNIST, FashionMNIST and CloudCast. ESN is named outright, so R10 gives F1: Sec.2 step (iii), individually addressable units with a specified coupling structure. Subclass left blank because 'multi-reservoir' is exactly the unresolved addition R10 describes - sub-reservoirs in parallel would be F1.1, stages in sequence F1.3, and the abstract does not say which. The 'continuous on-device training' is readout training under I3, not reservoir adaptation.",6
RC-3902,,Performance Improvement of Single-Electron Reservoir Computing Circuit with Multiple-Tunnel-Junction Single Electron Oscillator,"We designed the single-electron (SE) reservoir computing (RC) circuit using multiple-tunnel-junction SE oscillators (MJSEOs), which was compared to a previous SE RC circuit that utilized standard SEOs. The learning performance of the circuits was evaluated by root-mean-square error (RMSE), and it was found that the SE RC circuit with MJSEOs showed superior performance for waveform prediction than the SE RC circuit with SEOs.",10.23919/snw57900.2023.10183945,yes,unassignable,F1,,F1.5,,"PASS 1: unassignable. A two-page workshop abstract; 'SE RC circuit using multiple-tunnel-junction SE oscillators' names the devices and the RMSE result but not the arrangement, and one SE oscillator in a feedback loop (F2.1) reads identically on the page to an array of them (F1.5). PASS 2 changed it. The Circuit Design section states the reservoir layer is 'an arrangement of MJSEOs in a honeycomb array configuration, which are connected through capacitors', and the output layer takes 'the voltage values of nodes of certain randomly selected MJSEOs'. Individually addressable units with a designed coupling, so Sec.2 step (iii), F1; the node state is an oscillation amplitude, so F1.5. Not F1.4 - the honeycomb lattice is the vehicle, the MJSEO device is the object of study. Sine-wave prediction RMSE 2.801 (SEO) against 1.453 (MJSEO) at 500 ns, so the quantitative criterion is met.",30
RC-3641,,In-materio computing in random networks of carbon nanotubes complexed with chemically dynamic molecules: a review,"Abstract The need for highly energy-efficient information processing has sparked a new age of material-based computational devices. Among these, random networks (RNWs) of carbon nanotubes (CNTs) complexed with other materials have been extensively investigated owing to their extraordinary characteristics. However, the heterogeneity of CNT research has made it quite challenging to comprehend the necessary features of in-materio computing in a RNW of CNTs. Herein, we systematically tackle the topic by reviewing the progress of CNT applications, from the discovery of individual CNT conduction to their recent uses in neuromorphic and unconventional (reservoir) computing. This review catalogues the extraordinary abilities of random CNT networks and their complexes used to conduct nonlinear in-materio computing tasks as well as classification tasks that may replace current energy-inefficient systems.",10.1088/2634-4386/ac676a,no,unassignable,unassignable,,,,"Review, and it says so in its own title and body: 'we systematically tackle the topic by reviewing the progress of CNT applications'. Excluded not-primary under protocol Sec.4.2, corpus-adjacent under Sec.4.3. R8: code the record, never the in-materio systems it surveys, however determinate those are - the unit of analysis is one record. No pass 2; the Sec.2 procedure never runs.",4
RC-1684,1,Dynamic Clustering of Time Series with Echo State Networks,,10.1007/978-3-030-20518-8_7,yes,unassignable,F1,,F1.1,,"PASS 1: unassignable, and the packet routes this one to pass 2 - it carries a title and nothing else. The title names Echo State Networks, which under R10 would give F1/F1.1, but a title cannot be tested for eligibility at all (no way to see whether any quantitative result exists), and I did not want the family resting on it. Flagging the R10 tension rather than burying it. PASS 2 (Universidad de Malaga repository copy): Sec.2 gives y(t) = (1-l) y(t-1) + l tanh(Win x(t) + W y(t-1)) with d = 38 units, leak rate 0.3 and spectral radius 2 and 3 - a textbook leaky-integrator ESN. F1/F1.1; the random weight matrix is an initialisation detail so not F1.4. Quantitative result present: mean silhouette 0.42 to 0.54 across four clustering variants, Table 1. FOR THE Sec.11 PILE: the 'readout' here is k-means over the reservoir states, not a supervised map. I read I3 as satisfied because the centroids are parameters fit to the task, but it is unsupervised and Sec.1.2 issues no ruling on an unsupervised readout. Worth one.",38
RC-0057,,Echo State Networks for Reinforcement Learning.,"Echo State Networks (ESNs) are a type of single-layer recurrent neural network with randomly-chosen internal weights and a trainable output layer. We prove under mild conditions that a sufficiently large Echo State Network (ESN) can approximate the value function of a broad class of stochastic and deterministic control problems. Such control problems are generally non-Markovian. We describe how the ESN can form the basis for novel (and computationally efficient) reinforcement learning algorithms in a non-Markovian framework. We demonstrate this theory with two examples. In the first, we use an ESN to solve a deterministic, partially observed, control problem which is a simple game we call `Bee World'. In the second example, we consider a stochastic control problem inspired by a market making problem in mathematical finance. In both cases we can compare the dynamics of the algorithms with analytic solutions to show that even after only a single reinforcement policy iteration the algorithms perform with reasonable skill.",,yes,F1,F1,,F1.1,,"'ESNs are a type of single-layer recurrent neural network with randomly-chosen internal weights and a trainable output layer' - the abstract states the state map outright, so this is not even the R10 bare-name case. Sec.2 step (iii) gives F1; continuous activations with random weights as an initialisation detail gives F1.1, not F1.4. I2 holds: the reinforcement policy iteration fits the output layer and nothing flows into the internal weights. ELIGIBILITY FLAGGED - 'perform with reasonable skill' against analytic solutions is the only performance statement in the abstract, and a Stage-2 read could return no-result.",7
RC-6267,,Signals to Spikes for Neuromorphic Regulated Reservoir Computing and EMG Hand Gesture Recognition,"Surface electromyogram (sEMG) signals result from muscle movement and hence they are an ideal candidate for benchmarking event-driven sensing and computing. We propose a simple yet novel approach for optimizing the spike encoding algorithm’s hyper-parameters inspired by the readout layer concept in reservoir computing. Using a simple machine learning algorithm after spike encoding, we report performance higher than the state-of-the-art spiking neural networks on two open-source datasets for hand gesture recognition. The spike encoded data is processed through a spiking reservoir with a biologically inspired topology and neuron model. When trained with the unsupervised activity regulation CRITICAL algorithm to operate at the edge of chaos, the reservoir yields better performance than state-of-the-art convolutional neural networks. The reservoir performance with regulated activity was found to be 89.72% for the Roshambo EMG dataset and 70.6% for the EMG subset of sensor fusion dataset. Therefore, the biologically-inspired computing paradigm, which is known for being power efficient, also proves to have a great potential when compared with conventional AI algorithms.",10.1145/3477145.3477267,yes,F1,F1,,F1.2,,"'The spike encoded data is processed through a spiking reservoir with a biologically inspired topology and neuron model' - addressable spiking units with a stated topology, Sec.2 step (iii), so F1, and the node state is a spike train, so F1.2, the LSM lineage. The CRITICAL activity-regulation rule is unsupervised and task-agnostic, so INCLUDE under Sec.1.2 with D3 = unsupervised; it is not an I2 violation. Not F1.4 despite the word 'topology' - it is inherited from biology, not an object of design. 89.72% on Roshambo EMG and 70.6% on the sensor-fusion subset.",8
RC-5983,,Reservoir neuromorphic computing based on spin-orbit coupling in an organic crystal resonator,"Neuromorphic computing is at the basis of the recent progress in artificial intelligence. But the progress is accompanied with increasing demands in computational resources and power supply. Reservoir neuromorphic computing uses a non-linear physical system to replace a part of a large neural network. The advantages can include reduced power consumption and faster learning. We show that the interference in an organic crystal waveguide resonator leads to efficient separation of optical patterns, allowing a significant reduction of the size of the neural network and an acceleration of the learning process. For more complex symbols, extending the reservoir output dimension thanks to spin-orbit coupling, we achieve a 10-times reduction of the network size and a 3-fold speedup. Our work suggests a general path for the performance improvement of photonic reservoir computing systems.",2511.23155,no,unassignable,unassignable,,,,"PASS 1: unassignable. 'Interference in an organic crystal waveguide resonator' names a medium but not how a state vector is formed - a resonator carries a round-trip delay (F2) and a scattering field read at the edges (F4.2), and the abstract chooses neither. PASS 2 changed the answer, and it changed eligibility rather than family. The reservoir is a 2D hexagonal microcrystal illuminated with a static symbol through an SLM, and the output is the emission integrated over 3 sectors, later 6 polarisation channels giving 72 features. Every task is static image classification: 10 projected symbols, then MNIST at 93.6% and 95.6%. There is no input sequence and no fading memory anywhere in the paper - 'reservoir' here means a fixed random optical projection. That fails I1's history dependence, so excluded not-rc:static-input under Sec.4.2, the same ruling Sec.1.2 gives an ELM on static input. The Sec.2 procedure never runs, so this is an exclusion, not an instrument failure.",42
RC-2119,,A mean-field approach to criticality in spiking neural networks for reservoir computing,"Spiking Neural Networks (SNNs) exhibit their optimal information-processing capability at the edge of chaos, but tuning them to this critical regime in reservoir-computing architectures usually relies on costly trial-and-error or plasticity-driven adaptation. This work presents an analytical framework for configuring in the critical regime a SNN-based reservoir with a highly general topology. Specifically, we derive and solve a mean-field equation that governs the evolution of the average membrane potential in leaky integrate-and-fire neurons, and provide an approximation for the critical point. This framework reduces the need for an extensive online fine-tuning, offering a streamlined path to near-optimal network performance from the outset. Through extensive numerical experiments, we validate the theoretical predictions by analyzing the network's spiking dynamics and quantifying its computational capacity using the information-based Lempel-Ziv-Welch complexity near criticality. Finally, we explore self-organized quasi-criticality by implementing a local homeostatic learning rule for synaptic weights, demonstrating that the network's dynamics remain close to the theoretical critical point. Beyond AI, our approach and findings also have significant implications for computational neuroscience, providing a principled framework for quantitatively understanding how (neuro)biological networks exploit criticality for efficient information processing. The paper is accompanied by Python code, enabling the reproducibility of the findings.",10.1038/s41598-025-18004-y,yes,F1,F1,,F1.2,,"Mean-field configuration of an SNN reservoir of leaky integrate-and-fire neurons with a stated general topology. Sec.2 step (iii) gives F1; the node state is a spike train, so F1.2. The homeostatic local rule is unsupervised, INCLUDE under Sec.1.2, D3 = unsupervised. ELIGIBILITY FLAGGED and it is a real one: the abstract never mentions a readout, only LZW complexity and spiking dynamics. If the paper trains no readout the record fails I3 and Stage 2 returns not-rc:no-trained-readout. Coding eligible yes because D5 admits property-measure as a task class and the paper calls itself a reservoir-computing architecture, but re-check this at extraction.",9
RC-2208,,Incremental Input-to-State Stability criterion for adaptive Echo State Network systems,This paper presents a novel controller design strategy for an adaptive leaky-integrator Echo State Network (ESN) system based on the incremental input-to-state stability criterion. The online learning approach with the leaky-integrator echo state network system is developed through the recursive least square (RLS) algorithm. The controller design methods are derived and represented by a set of linear matrix inequality conditions. The effectiveness of the proposed controller design conditions is illustrated via a simulation example.,10.1016/j.ifacol.2025.09.558,yes,F1,F1,,F1.1,,"'Adaptive leaky-integrator Echo State Network'. ESN named, so R10 gives F1, and 'leaky-integrator' is stated rather than inferred, so F1.1's criterion is met on the paper's own words and not on convention. The RLS is online training of the output layer - I3 readout training, not reservoir adaptation - which is the trap codebook Sec.14 item 4 flags with its ridge-parameter row. ELIGIBILITY FLAGGED: 'illustrated via a simulation example' with no figure quoted, so a Stage-2 read may return no-result.",7
