record_id,no_abstract,title,abstract,family,subclass,hybrid,reason
RC-5630,,Computational insights on asymmetrical $$D_{1}$$ and $$D_{2}$$ receptor-mediated chunking: implications for OCD and Schizophrenia,"Abstract Repetitive thoughts and motor programs including perseveration are bridge symptoms characteristic of obsessive compulsive disorder (OCD), schizophrenia and in the co-morbid overlap of these conditions. The above pathologies are sensitive to altered activation and kinetics of dopamine $$D_{1}$$ <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""> <mml:msub> <mml:mi>D</mml:mi> <mml:mn>1</mml:mn> </mml:msub> </mml:math> and $$D_{2}$$ <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""> <mml:msub> <mml:mi>D</mml:mi> <mml:mn>2</mml:mn> </mml:msub> </mml:math> receptors that differently influence sequence learning and recall. Recognizing start and stop elements of motor and cognitive behaviors has crucial importance. During chunking, frequent components of temporal strings are concatenated into single units. We extended a published computational model (Asabuki et al. 2018), where two populations of neurons are connected and simulated in a reservoir computing framework. These neural pools were adopted to represent D 1 and D 2 striatal neuronal populations. We investigated how specific neural and striatal circuit parameters can influence start/stop signaling and found that asymmetric intra-network connection probabilities, synaptic weights and differential time constants may contribute to signaling of start/stop elements within learned sequences. Asymmetric coupling between the striatal $$D_{1}$$ <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""> <mml:msub> <mml:mi>D</mml:mi> <mml:mn>1</mml:mn> </mml:msub> </mml:math> and $$D_{2}$$ <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""> <mml:msub> <mml:mi>D</mml:mi> <mml:mn>2</mml:mn> </mml:msub> </mml:math> neural populations was also demonstrated to be beneficial. Our modeling results predict that dynamical differences between the two dopaminergic striatal populations and the interaction between them may play complementary roles in chunk boundary signaling. Start and stop dichotomies can arise from the larger circuit dynamics as well, since neural and intra-striatal connections only partially support a clear division of labor.",F1,F1.4,,"Two simulated neural populations with specified connection probabilities and synaptic weights ('two populations of neurons are connected and simulated in a reservoir computing framework') -> step 3, F1. The asymmetric intra-/inter-population coupling is the object of study ('asymmetric intra-network connection probabilities') -> modular structured topology, F1.4. Node type (rate vs spiking) unstated."
RC-3537,,Experimental Demonstration of Optoelectronic Equalization for Short-reach Transmission with Reservoir Computing,A receiver with shared complexity between optical and digital domains is\nexperimentally demonstrated. Reservoir computing is used to equalize up to 4\ndirectly-detected optically filtered spectral slices of a 32 GBd OOK signal\nover up to 80 km of SMF.\n,unassignable,,,"Application-only abstract: RC 'is used to equalize up to 4 directly-detected optically filtered spectral slices'; no state-generation mechanism stated (no network, delay loop, feature window, or medium). Photonic substrate alone must not decide the family -> unassignable."
RC-6184,,Spintronic reservoir computing without driving current or magnetic field,"Recent studies have shown that nonlinear magnetization dynamics excited in nanostructured ferromagnets are applicable to brain-inspired computing such as physical reservoir computing. The previous works have utilized the magnetization dynamics driven by electric current and/or magnetic field. This work proposes a method to apply the magnetization dynamics driven by voltage control of magnetic anisotropy to physical reservoir computing, which will be preferable from the viewpoint of low-power consumption. The computational capabilities of benchmark tasks in single MTJ are evaluated by numerical simulation of the magnetization dynamics and found to be comparable to those of echo-state networks with more than 10 nodes.",F2,F2.1,,"'Single MTJ' evaluated 'by numerical simulation', capability 'comparable to those of echo-state networks with more than 10 nodes' -> multi-dimensional state can only come from sampling the one node's transient across the input interval (virtual nodes) -> step 2, F2.1. Memory arises from magnetization relaxation rather than loop delay: mechanism-clause tension recorded (Torrejon worked-example precedent); the multiplexing construction is implied, not stated, so unassignable was the considered alternative."
RC-1082,,Few- and single-molecule reservoir computing experimentally demonstrated with surface-enhanced Raman scattering and ion gating,"Molecule-based reservoir computing (RC) is promising for achieving low power consumption neuromorphic computing, although the information-processing capability of small numbers of molecules is not clear. Here, we report a few- and single-molecule RC that uses the molecular vibration dynamics in the para-mercaptobenzoic acid (pMBA) detected by surface-enhanced Raman scattering (SERS) with tungsten oxide nanorod/silver nanoparticles. The Raman signals of the pMBA molecules, adsorbed at the SERS active site of the nanorod, were reversibly perturbated by the application of voltage-induced local pH changes near the molecules, and then used to perform time-series analysis tasks. Despite the small number of molecules used, our system achieved good performance, including >95% accuracy in various nonlinear waveform transformations, 94.3% accuracy in solving a second-order nonlinear dynamic system, and a prediction error of 25.0 milligrams per deciliter in a 15-minute-ahead blood glucose level prediction. Our work provides a concept of few-molecular computing with practical computation capabilities.",F4,,,"Molecular vibration dynamics of pMBA molecules 'adsorbed at the SERS active site of the nanorod', probed optically via SERS and perturbed by voltage-induced pH changes; coupling not designed or addressable -> step 4, F4. No F4 subclass names molecular/chemical media (F4.1 lists conductive meshes) -> subclass blank, gap noted. Explicit state-construction detail is thin; F2-style multiplexing is not stated."
RC-3930,,Synaptic Plasticity and Visual Memory in a Neuromorphic 2D Memitter Based on WS<sub>2</sub> Monolayers,"Abstract Neuromorphic computing aims to leverage physical phenomena of adaptive materials for emulating information processing capabilities and effectiveness of biological neuronal circuits. In this framework, memristors (resistors with memory) based on 2D materials are demonstrated for the hardware implementation of highly integrated artificial neural networks. All the works reported thus far exploited electrical properties of 2D materials to emulate neuromorphic functionalities. Here, a 2D memitter (emitter with memory) is reported on that exploits the stimuli‐responsive photoluminescence of a monolayer WS 2 for neuromorphic‐type of data processing. A combined experimental and modeling approach reveals that photoluminescent dynamics triggered by optical stimulation emulates Short‐Term synaptic Plasticity and Visual Short‐Term Memory typical of biological systems. While spatio‐temporal processing capabilities of input signals can be used for information processing in the context of reservoir computing, the capability of the 2D memitter of sensing, processing, and memorizing‐forgetting optical inputs in the same physical substrate can be utilized for in‐sensor computing.",unassignable,,,"Single WS2 'memitter' device demonstrating synaptic-plasticity and short-term-memory phenomena; RC appears only as prospective context ('can be used for information processing in the context of reservoir computing'). No reservoir construction, state vector, readout, or task reported -> unassignable."
RC-5479,,Multimodal flexible sensors for edge AI system,"Abstract Wireless multimodal sensor systems that integrate sensing, data processing, and feedback are central to next-generation Internet of Things (IoT) applications in healthcare, robotics, and industrial and environmental monitoring. Flexible and stretchable sensors enable conformal contact with soft or nonplanar surfaces, allowing precise, low-noise signal acquisition. To achieve real-time feedback and low-power consumption, edge computing has emerged as a promising alternative to cloud-based analysis. Within this context, lightweight machine learning methods, such as reservoir computing, offer efficient time-series analysis under resource constraints. However, challenges remain regarding the reproducibility of data from flexible sensors and overall energy consumption. Integrating multimodal sensing, flexibility, and edge computing paves the way for advanced IoT systems that promote more convenience, comfort, and sustainability, thereby contributing to an improved quality of life. This review highlights progress in multimodal flexible sensors, machine learning, physical computing, and edge systems. Furthermore, current challenges and future directions are discussed.",unassignable,,,"Review article ('This review highlights progress in multimodal flexible sensors, machine learning, physical computing, and edge systems'); RC is one method mention among many topics; no single system or state-generation mechanism to classify -> unassignable."
RC-5770,,Quantum Reservoir Computing Implementations for Classical and Quantum Problems,"Quantum reservoir computing has emerged as a promising paradigm within the field of quantum machine learning, harnessing the inherent properties of quantum systems to optimise and enhance information processing capabilities. Here, we explore the potential of quantum-inspired machine learning methodologies by leveraging the complex dynamics of quantum reservoirs to address computationally challenging tasks with enhanced efficiency and accuracy. To this end, we employ an open quantum system model comprising two-level atomic ensembles coupled to Lorentzian photonic cavities to construct a quantum physical reservoir computer layer for a recurrent neural network. We evaluate the effectiveness of this approach by applying it to a standard machine learning image-recognition problem and benchmarking its performance against a conventional neural network of similar architecture, but lacking the quantum physical reservoir computer layer. Remarkably, as the dataset size increases, the quantum physical reservoir computer outperforms the conventional neural network, requiring fewer training epochs and a smaller dataset to achieve comparable accuracy. Furthermore, we employ the quantum physical reservoir computing approach to model the dynamics of open quantum systems, focusing on atomic system ensembles interacting with a structured photonic reservoir associated with a photonic band-gap material. Our results reveal that the quantum reservoir computer provides equally powerful representations for quantum dynamical problems, maintaining effectiveness even under constraints of limited training data.",F1,,,"Quantum RC: per ruling R5, code the state map. Model = 'two-level atomic ensembles coupled to Lorentzian photonic cavities' -> designed, specified coupling among simulated degrees of freedom -> step 3, F1. No F1 subclass fits an atoms-cavity quantum state map -> subclass blank, gap noted. The surrounding trained RNN is readout/architecture, not a second reservoir mechanism -> no hybrid."
RC-1663,,Echo state network for features extraction and segmentation of tomography images,"The paper proposes a novel approach for gray scale images segmentation. It is based on multiple features extraction from a single feature per image pixel, namely its intensity value, via a recurrent neural network from the reservoir computing family - Echo state network. The preliminary tests on the benchmark gray scale image Lena demonstrated that the newly extracted features - reservoir equilibrium states - reveal hidden image characteristics. In present work the developed approach was applied to a real life task for segmentation of a 3D tomography image of a of bone whose aim was to explore the object?s internal structure. The achieved results demonstrated the novel approach allows for clearer revealing the details of the bone internal structure thus supporting further tomography image analyses.",F1,F1.1,,"'A recurrent neural network from the reservoir computing family - Echo state network' -> step 3, default ESN, F1.1."
RC-0426,,Experimental demonstration of a skyrmion-enhanced strain-mediated physical reservoir computing system,"Abstract Physical reservoirs holding intrinsic nonlinearity, high dimensionality, and memory effects have attracted considerable interest regarding solving complex tasks efficiently. Particularly, spintronic and strain-mediated electronic physical reservoirs are appealing due to their high speed, multi-parameter fusion and low power consumption. Here, we experimentally realize a skyrmion-enhanced strain-mediated physical reservoir in a multiferroic heterostructure of Pt/Co/Gd multilayers on (001)-oriented 0.7PbMg 1/3 Nb 2/3 O 3 −0.3PbTiO 3 (PMN-PT). The enhancement is coming from the fusion of magnetic skyrmions and electro resistivity tuned by strain simultaneously. The functionality of the strain-mediated RC system is successfully achieved via a sequential waveform classification task with the recognition rate of 99.3% for the last waveform, and a Mackey-Glass time series prediction task with normalized root mean square error (NRMSE) of 0.2 for a 20-step prediction. Our work lays the foundations for low-power neuromorphic computing systems with magneto-electro-ferroelastic tunability, representing a further step towards developing future strain-mediated spintronic applications.",F4,F4.2,,"Experimental 'skyrmion-enhanced strain-mediated physical reservoir in a multiferroic heterostructure': continuous multilayer film hosting skyrmion textures; no addressable node structure and no delay/multiplexing construction described -> step 4, F4. F4.2 as nearest subclass (magnetic skyrmion/strain texture as spin/field medium) - hedged, since the state-readout construction is not detailed in the abstract."
RC-0970,,Weather forecasting based on data-driven and physics-informed reservoir computing models,"Abstract In response to the growing demand for the global energy supply chain, wind power has become an important research subject among studies in the advancement of renewable energy sources. The major concern is the stochastic volatility of weather conditions that hinder the development of wind power forecasting approaches. To address this issue, the current study proposes a weather prediction method divided into two models for wind speed and atmospheric system forecasting. First, the data-based model incorporated with wavelet transform and recurrent neural networks is employed to predict the wind speed. Second, the physics-informed echo state network was used to learn the chaotic behaviour of the atmospheric system. The findings were validated with a case study conducted on wind speed data from Turkmenistan. The results suggest the out-performance of physics-informed model for accurate and reliable forecasting analysis, which indicates the potential for implementation in wind energy analysis.",F1,F1.1,,"'The physics-informed echo state network was used to learn the chaotic behaviour of the atmospheric system' -> step 3, default ESN, F1.1. Physics-informed is an operating-mode facet; the separate wavelet+RNN wind-speed model is not a reservoir mechanism."
RC-0495,,Next-generation reservoir computing based on memristor array,"As a kind of brain-inspired computing, reservoir computing (RC) has great potential applications in time sequence signal processing and chaotic dynamics system prediction due to its simple structure and few training parameters. Since in the RC randomly initialized network weights are used, it requires abundant data and calculation time for warm-up and parameter optimization. Recent research results show that an RC with linear activation nodes, combined with a feature vector, is mathematically equivalent to a nonlinear vector autoregression (NVAR) machine, which is named next-generation reservoir computing (NGRC). Although the NGRC can effectively alleviate the problems which traditional RC has, it still needs vast computing resources for multiplication operations. In the present work, a hardware implementation method of using computing-in memory paradigm for NGRC is proposed for the first time. We use memristor array to perform the matrix vector multiplication involved in the nonlinear vector autoregressive process for the improvement of the energy efficiency. The Lorenz63 time series prediction task is performed by simulation experiments with the memristor array, demonstrating the feasibility and robustness of this method, and the influence of the weight precision of the memristor devices on the prediction results is discussed. These results provide a promising way of implementing the hardware NGRC.",F3,F3.1,,"NG-RC named: 'mathematically equivalent to a nonlinear vector autoregression (NVAR) machine, which is named next-generation reservoir computing' -> step 1 (no internal variable carried across steps; explicit feature vector), F3.1. The memristor array only performs 'the matrix vector multiplication' -> compute substrate, not the state-generation mechanism (material must not decide the family)."
RC-2174,,A Low Computational Cost Hand Waving Action Recognition System with Echo State Network for Home Service Robots,"This study proposes a low computational cost hand-waving action recognition system for non-verbal communication in home service robots. The system is based on an echo state network, which requires lower computational costs than that of deep neural networks (DNNs), and processes time-series data of skeletal coordinates of humans to recognize hand-waving actions. Additionally, this study proposes and compares two types of preprocessing methods of the skeletal coordinates to ensure the robustness of the human positions on the frame: one method extracts shoulder and arm angles, which are invariable regardless of the humans’ positions and the other normalizes the skeletal coordinates. The experimental result shows that the proposed system has competitive accuracy and is robust to varying human positions.",F1,F1.1,,"'The system is based on an echo state network' processing skeletal-coordinate time series -> step 3, default ESN, F1.1."
RC-0984,,Feature Engineering and Stacked Echo State Networks for Musical Onset Detection,"In music analysis, one of the most fundamental tasks is note onset detection - detecting the beginning of new note events. As the target function of onset detection is related to other tasks, such as beat tracking or tempo estimation, onset detection is the basis for such related tasks. Furthermore, it can help to improve Automatic Music Transcription (AMT). Typically, different approaches for onset detection follow a similar outline: An audio signal is transformed into an Onset Detection Function (ODF), which should have rather low values (i.e. close to zero) for most of the time but with pronounced peaks at onset times, which can then be extracted by applying peak picking algorithms on the ODF. In the recent years, several kinds of neural networks were used successfully to compute the ODF from feature vectors. Currently, Convolutional Neural Networks (CNNs) define the state of the art. In this paper, we build up on an alternative approach to obtain a ODF by Echo State Networks (ESNs), which have achieved comparable results to CNNs in several tasks, such as speech and image recognition. In contrast to the typical iterative training procedures of deep learning architectures, such as CNNs or networks consisting of Long-Short-Term Memory Cells (LSTMs), in ESNs only a very small part of the weights is easily trained in one shot using linear regression. By comparing the performance of several feature extraction methods, pre-processing steps and introducing a new way to stack ESNs, we expand our previous approach to achieve results that fall between a bidirectional LSTM network and a CNN with relative improvements of 1.8 % and -1.4 %, respectively. For the evaluation, we used exactly the same 8-fold cross validation setup as for the reference results.",F1,F1.3,,"'Introducing a new way to stack ESNs' -> depth in the state map (successive reservoir stages) -> step 3, F1.3."
RC-4660,,Research on Credit Risk Prediction Method of Blockchain Applied to Supply Chain Finance,"INTRODUCTION: From the perspective of blockchain, it establishes a credit risk evaluation index system for supply chain finance applicable to blockchain, constructs an accurate credit risk prediction model, and provides a reliable guarantee for the research of credit risk in supply chain finance.OBJECTIVES: To address the inefficiency of the current credit risk prediction and evaluation model for supply chain finance.METHODS: This paper proposes a combined blockchain supply chain financial credit risk prediction and evaluation method based on kernel principal component analysis and intelligent optimisation algorithm to improve Deep Echo State Network. Firstly, the evaluation system is constructed by describing the supply chain financial credit risk prediction and evaluation problem based on blockchain technology, analysing the evaluation indexes, and constructing the evaluation system; then, the parameters of DeepESN network are optimized by combining the kernel principal component analysis method with the JSO algorithm to construct the credit risk prediction and evaluation model of supply chain finance; finally, the effectiveness, robustness, and real-time performance of the proposed method are verified by simulation experiment analysis.RESULTS: The results show that the proposed method improves the prediction efficiency of the prediction model.CONCLUSION: The problems of insufficient scientific construction of index system and poor efficiency of risk prediction model of B2B E-commerce transaction size prediction method are effectively solved.",F1,F1.3,,"'Deep Echo State Network' (DeepESN) named -> hierarchical multi-stage reservoir -> step 3, F1.3. KPCA/JSO parameter optimization is an adaptation facet, not a family criterion."
RC-6303,,Denoising and reconstruction of nonlinear dynamics using truncated reservoir computing,"Measurements acquired from distributed physical systems are often sparse and noisy. Therefore, signal processing and system identification tools are required to mitigate noise effects and reconstruct unobserved dynamics from limited sensor data. However, this process is particularly challenging because the fundamental equations governing the dynamics are largely unavailable in practice. Reservoir Computing (RC) techniques have shown promise in efficiently simulating dynamical systems through an unstructured and efficient computation graph comprising a set of neurons with random connectivity. However, the potential of RC to operate in noisy regimes and distinguish noise from the primary smooth or non-smooth deterministic dynamics of the system has not been fully explored. This paper presents a novel RC method for noise filtering and reconstructing unobserved nonlinear dynamics, offering a novel learning protocol associated with hyperparameter optimization. The performance of the RC in terms of noise intensity, noise frequency content, and drastic shifts in dynamical parameters is studied in two illustrative examples involving the nonlinear dynamics of the Lorenz attractor and the adaptive exponential integrate-and-fire system. It is demonstrated that denoising performance improves by truncating redundant nodes and edges of the reservoir, as well as by properly optimizing hyperparameters, such as the leakage rate, spectral radius, input connectivity, and ridge regression parameter. Furthermore, the presented framework shows good generalization behavior when tested for reconstructing unseen and qualitatively different attractors. Compared to the extended Kalman filter, the presented RC framework yields competitive accuracy at low signal-to-noise ratios and high-frequency ranges.",F1,F1.1,,"'A set of neurons with random connectivity' with hyperparameters 'leakage rate, spectral radius, input connectivity, and ridge regression parameter' -> step 3, rate-based ESN, F1.1. Truncating 'redundant nodes and edges' is pruning of a random reservoir, not a designed topology class (F1.4 rejected)."
RC-3999,,Recurrent Neural Network-Based MPC for Systems With Input and Incremental Input Constraints,"This paper proposes a stabilizing Model Predictive Control algorithm, specifically designed to handle systems learned by Incrementally Input-to-State Stable Recurrent Neural Networks, in presence of input and incremental input constraints. Closed-loop stability is proven by relying on the Incremental Input-to-State Stability property of the model, and on a terminal equality constraint involving the control sequence only. The Incremental Input-to-State Stability is also used to derive a suitable formulation of the Model Predictive Control terminal cost. The proposed control algorithm can be readily applied to a wide range of Recurrent Neural Networks, including Gated Recurrent Units, Echo State Networks, and Neural Nonlinear Autoregressive eXogenous models. Furthermore, this work specializes the approach to handle the particular case of Long Short-Term Memory Networks, and showcases its effectiveness on a four tanks process benchmark.",unassignable,,,"Control-theory (MPC) paper; ESN appears only in a list of admissible model classes ('including Gated Recurrent Units, Echo State Networks, and Neural Nonlinear Autoregressive eXogenous models') and the specialization is to LSTM; no reservoir system is the object of the record -> unassignable."
