record_id,no_abstract,title,abstract,doi,eligible,family_abstract,family,family_symmetric,subclass,hybrid,reason,minutes
RC-1144,,Physical Reservoir Computing for Real‐Time Electrocardiogram Arrhythmia Detection Through Controlled Ion Dynamics in Electrochemical Random‐Access Memory,"Abstract From the perspective of developing low‐power mobile healthcare devices capable of real‐time electrogram diagnosis, memristor‐based physical reservoir computing (PRC) offers a promising alternative to conventional deep neural network (DNN)‐based systems. Here, real‐time electrocardiogram (ECG) monitoring and arrhythmia detection are demonstrated using electrochemical random‐access memory (ECRAM)‐based PRC. ECRAM devices provide the millisecond‐range temporal resolution required for bio‐potential signals like ECG. Through material and process engineering, it is identified that higher ionic conductivity (σ ion ) in the electrolyte layer and lower ionic diffusivity (D ion ) in the channel layer are crucial for achieving non‐linear dynamics and fading memory characteristics. In addition, LaF 3 /WO x ‐based ECRAM exhibits low‐power operation (≈300 pW spike −1 ) with minimal cycle‐to‐cycle (CTC) variation (&lt;10%). Arrhythmia detection tests confirmed the feasibility of real‐time ECG monitoring, achieving a high classification accuracy of 93.04% with a 50‐fold reduction in training parameters compared to DNN‐based systems. Therefore, the developed LaF 3 /WO x ‐based ECRAM with engineering guidelines of ion dynamics makes a significant contribution to mobile healthcare systems for electrogram diagnosis.",10.1002/aelm.202400920,yes,F1,F1,,,,"The fading memory here comes from ion relaxation inside each ECRAM cell, not from transit time round a loop, so step 2 is a no and this isn't F2 even though the cells are pulsed in sequence. Step 3 is a yes: fabricated cells addressed through their own electrodes are addressable units with a known structure. So F1. No subclass, because the abstract never gives a device count or an arrangement, and F1.6 needs the arrangement specified. I was careful not to take the memristive substrate as a shortcut here; compare RC-6287, same substrate, comes out F2.",10
RC-2087,,Energy-Efficient Edge and Cloud Image Classification with Multi-Reservoir Echo State Network and Data Processing Units,"In an era dominated by Internet of Things (IoT) devices, software-as-a-service (SaaS) platforms, and rapid advances in cloud and edge computing, the demand for efficient and lightweight models suitable for resource-constrained devices such as data processing units (DPUs) has surged. Traditional deep learning models, such as convolutional neural networks (CNNs), pose significant computational and memory challenges, limiting their use in resource-constrained environments. Echo State Networks (ESNs), based on reservoir computing principles, offer a promising alternative with reduced computational complexity and shorter training times. This study explores the applicability of ESN-based architectures in image classification and weather forecasting tasks, using benchmarks such as the MNIST, FashionMnist, and CloudCast datasets. Through comprehensive evaluations, the Multi-Reservoir ESN (MRESN) architecture emerges as a standout performer, demonstrating its potential for deployment on DPUs or home stations. In exploiting the dynamic adaptability of MRESN to changing input signals, such as weather forecasts, continuous on-device training becomes feasible, eliminating the need for static pre-trained models. Our results highlight the importance of lightweight models such as MRESN in cloud and edge computing applications where efficiency and sustainability are paramount. This study contributes to the advancement of efficient computing practices by providing novel insights into the performance and versatility of MRESN architectures. By facilitating the adoption of lightweight models in resource-constrained environments, our research provides a viable alternative for improved efficiency and scalability in modern computing paradigms.",10.3390/s24113640,yes,F1,F1,,,,"An echo state network is a named architecture rather than a field label: it fixes a recurrent weight matrix over node activations, which is what steps 1 and 3 need. That's different from the bare term ""reservoir computing"" in R7, which can't separate F1 from F3. Subclass left blank, though: ""multi-reservoir"" announces a departure from the default ESN and the abstract never says whether the sub-reservoirs sit in sequence (F1.3), in parallel, or as one block-diagonal matrix (F1.4).",7
RC-3902,,Performance Improvement of Single-Electron Reservoir Computing Circuit with Multiple-Tunnel-Junction Single Electron Oscillator,"We designed the single-electron (SE) reservoir computing (RC) circuit using multiple-tunnel-junction SE oscillators (MJSEOs), which was compared to a previous SE RC circuit that utilized standard SEOs. The learning performance of the circuits was evaluated by root-mean-square error (RMSE), and it was found that the SE RC circuit with MJSEOs showed superior performance for waveform prediction than the SE RC circuit with SEOs.",10.23919/snw57900.2023.10183945,yes,unassignable,F1,,F1.5,,"Went to full text, and one sentence in §II did it, a sentence that isn't in the abstract: ""The designed SE RC circuit includes an arrangement of MJSEOs in a honeycomb array configuration, which are connected through capacitors in the reservoir layer."" Trigger voltages go to specific nodes, and at the output ""the voltage values of nodes of certain randomly selected MJSEOs"" are weighted and summed. So: many oscillators at known positions, capacitive coupling between them, addressed individually at both ends. That's F1, and F1.5 under the note that an array of coupled oscillators each read separately is F1.5. From the abstract I couldn't rule out a single oscillator sampled across a delay line, which would have been F2.1, which is why it went to pass 2 at all. Not F1.4, since the honeycomb isn't what the paper studies; the MJSEO device is. RMSE improves from 2.801 to 1.453 at 500 ns.",28
RC-3641,,In-materio computing in random networks of carbon nanotubes complexed with chemically dynamic molecules: a review,"Abstract The need for highly energy-efficient information processing has sparked a new age of material-based computational devices. Among these, random networks (RNWs) of carbon nanotubes (CNTs) complexed with other materials have been extensively investigated owing to their extraordinary characteristics. However, the heterogeneity of CNT research has made it quite challenging to comprehend the necessary features of in-materio computing in a RNW of CNTs. Herein, we systematically tackle the topic by reviewing the progress of CNT applications, from the discovery of individual CNT conduction to their recent uses in neuromorphic and unconventional (reservoir) computing. This review catalogues the extraordinary abilities of random CNT networks and their complexes used to conduct nonlinear in-materio computing tasks as well as classification tasks that may replace current energy-inefficient systems.",10.1088/2634-4386/ac676a,no,unassignable,unassignable,,,,"Not eligible, not-primary under §4.2. The title ends "": a review"" and the abstract surveys other people's work. R8 says code the record, not the systems inside it, and F4.1 is exactly the shortcut I'd have taken here, so this is the unit-of-analysis error R8 names. No full-text pass: the §2 cascade never runs on a §4.2 exclusion.",2
RC-1684,1,Dynamic Clustering of Time Series with Echo State Networks,,10.1007/978-3-030-20518-8_7,no,unassignable,unassignable,,,,"Straight to full text, since there's no abstract at all. It comes out ineligible, and on a ground nothing but the full text could have shown: no trained readout, §4.2 not-rc:no-trained-readout, taxonomy §1.1 step 3. Section 2 says it outright, ""Since the objective of this paper is unsupervised learning, we omit the output layer, together with the regression computation to fix the parameters Wio, Wout, b."" Nothing is fit to a task; the output is a k-means clustering of the reservoir states scored by silhouette coefficient. There are quantitative results, so this isn't no-result. No family, per the convention for ineligible records, though for the record the state map is a textbook leaky-tanh ESN, eq. (2), d units, W fixed once at the start, so it would have been F1.1.",32
RC-0057,,Echo State Networks for Reinforcement Learning.,"Echo State Networks (ESNs) are a type of single-layer recurrent neural network with randomly-chosen internal weights and a trainable output layer. We prove under mild conditions that a sufficiently large Echo State Network (ESN) can approximate the value function of a broad class of stochastic and deterministic control problems. Such control problems are generally non-Markovian. We describe how the ESN can form the basis for novel (and computationally efficient) reinforcement learning algorithms in a non-Markovian framework. We demonstrate this theory with two examples. In the first, we use an ESN to solve a deterministic, partially observed, control problem which is a simple game we call `Bee World'. In the second example, we consider a stochastic control problem inspired by a market making problem in mathematical finance. In both cases we can compare the dynamics of the algorithms with analytic solutions to show that even after only a single reinforcement policy iteration the algorithms perform with reasonable skill.",,yes,F1,F1,,F1.1,,"The abstract states the state map for me: ""a type of single-layer recurrent neural network with randomly-chosen internal weights and a trainable output layer"". Random weights, one layer, so F1.1. The family was the easy part; eligibility is what I went back and forth on. It's a theory paper, ""we prove"", and the two demonstrations are compared against analytic solutions rather than scored against a benchmark. I read that as a quantitative result under §4.1, but it's the thinnest yes in my file and I wouldn't argue with a coder who called it no-result.",4
RC-6267,,Signals to Spikes for Neuromorphic Regulated Reservoir Computing and EMG Hand Gesture Recognition,"Surface electromyogram (sEMG) signals result from muscle movement and hence they are an ideal candidate for benchmarking event-driven sensing and computing. We propose a simple yet novel approach for optimizing the spike encoding algorithm’s hyper-parameters inspired by the readout layer concept in reservoir computing. Using a simple machine learning algorithm after spike encoding, we report performance higher than the state-of-the-art spiking neural networks on two open-source datasets for hand gesture recognition. The spike encoded data is processed through a spiking reservoir with a biologically inspired topology and neuron model. When trained with the unsupervised activity regulation CRITICAL algorithm to operate at the edge of chaos, the reservoir yields better performance than state-of-the-art convolutional neural networks. The reservoir performance with regulated activity was found to be 89.72% for the Roshambo EMG dataset and 70.6% for the EMG subset of sensor fusion dataset. Therefore, the biologically-inspired computing paradigm, which is known for being power efficient, also proves to have a great potential when compared with conventional AI algorithms.",10.1145/3477145.3477267,yes,F1,F1,,F1.2,,"""A spiking reservoir with a biologically inspired topology and neuron model"" gives me addressable units with a specified coupling structure, so F1, and the node state is a spike train, so F1.2. Not F1.4: what the paper actually studies is the spike-encoding hyperparameters, and F1.4 wants the topology to be the object of study or an explicit design claim, which ""biologically inspired"" isn't. CRITICAL is unsupervised activity regulation, so D3 is unsupervised and §1.2 keeps the record in.",6
RC-5983,,Reservoir neuromorphic computing based on spin-orbit coupling in an organic crystal resonator,"Neuromorphic computing is at the basis of the recent progress in artificial intelligence. But the progress is accompanied with increasing demands in computational resources and power supply. Reservoir neuromorphic computing uses a non-linear physical system to replace a part of a large neural network. The advantages can include reduced power consumption and faster learning. We show that the interference in an organic crystal waveguide resonator leads to efficient separation of optical patterns, allowing a significant reduction of the size of the neural network and an acceleration of the learning process. For more complex symbols, extending the reservoir output dimension thanks to spin-orbit coupling, we achieve a 10-times reduction of the network size and a 3-fold speedup. Our work suggests a general path for the performance improvement of photonic reservoir computing systems.",2511.23155,no,unassignable,unassignable,,,,"Went to full text and it reverses what the abstract led me to expect. Not eligible, not-rc:static-input under §4.2, which is the ELM row of §1.2. The abstract says ""reservoir neuromorphic computing"" and ""photonic reservoir computing"", so I went in expecting a reservoir. What the paper does is project static symbols onto the resonator surface, Fig. 2(a,b), ""The input symbols on the surface of the resonator"", MNIST digits later on, and train a small feedforward network on the resulting interference intensities, 3 by 10 and then 72 by 10. There's no input sequence, no state carried between steps, and the interference map is instantaneous, so I1's history dependence fails. It's a fixed nonlinear projection with a trained readout on static input. This is the strongest argument in my packet for coding from full text rather than abstracts: nothing in the abstract separates it from a real physical reservoir.",50
RC-2119,,A mean-field approach to criticality in spiking neural networks for reservoir computing,"Spiking Neural Networks (SNNs) exhibit their optimal information-processing capability at the edge of chaos, but tuning them to this critical regime in reservoir-computing architectures usually relies on costly trial-and-error or plasticity-driven adaptation. This work presents an analytical framework for configuring in the critical regime a SNN-based reservoir with a highly general topology. Specifically, we derive and solve a mean-field equation that governs the evolution of the average membrane potential in leaky integrate-and-fire neurons, and provide an approximation for the critical point. This framework reduces the need for an extensive online fine-tuning, offering a streamlined path to near-optimal network performance from the outset. Through extensive numerical experiments, we validate the theoretical predictions by analyzing the network's spiking dynamics and quantifying its computational capacity using the information-based Lempel-Ziv-Welch complexity near criticality. Finally, we explore self-organized quasi-criticality by implementing a local homeostatic learning rule for synaptic weights, demonstrating that the network's dynamics remain close to the theoretical critical point. Beyond AI, our approach and findings also have significant implications for computational neuroscience, providing a principled framework for quantitatively understanding how (neuro)biological networks exploit criticality for efficient information processing. The paper is accompanied by Python code, enabling the reproducibility of the findings.",10.1038/s41598-025-18004-y,yes,F1,F1,,F1.2,,"Leaky integrate-and-fire neurons with synaptic weights and a stated general topology give addressable units and a specified coupling, so F1, and a spike-train node state, so F1.2. The homeostatic rule is local and task-agnostic, so §1.2 includes it with D3 unsupervised. One thing I want flagged: the abstract never describes a trained readout, so I3 is being carried by the reservoir-computing framing rather than by anything stated. Capacity is reported as LZW complexity, which counts under §4.1. Either way the family cascade is about the state map and isn't affected.",8
RC-2208,,Incremental Input-to-State Stability criterion for adaptive Echo State Network systems,This paper presents a novel controller design strategy for an adaptive leaky-integrator Echo State Network (ESN) system based on the incremental input-to-state stability criterion. The online learning approach with the leaky-integrator echo state network system is developed through the recursive least square (RLS) algorithm. The controller design methods are derived and represented by a set of linear matrix inequality conditions. The effectiveness of the proposed controller design conditions is illustrated via a simulation example.,10.1016/j.ifacol.2025.09.558,yes,F1,F1,,F1.1,,"""Adaptive leaky-integrator Echo State Network"" states the update rule, which is F1.1's criterion word for word. The ""adaptive"" is the readout adapting, not the reservoir: the online RLS is readout training, D2 online-recursive, so no error reaches the state map and I2 holds. Borderline on §4.1, since effectiveness is ""illustrated via a simulation example"" and the abstract gives no number.",4
