ratio,decision,adjudicated_by,note,record_id_a,title_a,year_a,venue_a,doi_a,source_db_a,record_id_b,title_b,year_b,venue_b,doi_b,source_db_b
0.9862,,,,RC-2672,"Memristors—From In‐Memory Computing, Deep Learning Acceleration, and Spiking Neural Networks to the Future of Neuromorphic and Bio‐Inspired Computing",2020,Advanced Intelligent Systems,10.1002/aisy.202000085,arxiv|openalex,RC-5694,"Memristors -- from In-memory computing, Deep Learning Acceleration, Spiking Neural Networks, to the Future of Neuromorphic and Bio-inspired Computing",2020,Research Portal (King's College London),10.48550/arxiv.2004.14942,arxiv|openalex
0.9857,,,,RC-4928,Reduced-order adaptive synchronization in a chaotic neural network with parameter mismatch: A dynamical system vs. machine learning approach,2024,Research Square,10.21203/rs.3.rs-5008392/v1,openalex,RC-6439,Reduced-order adaptive synchronization in a chaotic neural network with parameter mismatch: a dynamical system versus machine learning approach,2024,Nonlinear Dynamics,10.1007/s11071-024-10821-6,arxiv|openalex
0.9845,,,,RC-4770,Modular architecture confers robustness to damage and facilitates recovery in spiking neural networks modeling in vitro neurons,2025,Frontiers in Neuroscience,10.3389/fnins.2025.1570783,openalex,RC-5478,Modular architecture confers robustness to damage and facilitates recovery in spiking neural networks modeling <i>in vitro</i> neurons,2025,bioRxiv (Cold Spring Harbor Laboratory),10.1101/2025.02.04.636401,openalex
0.9823,,,,RC-0391,Statistical analysis of static and dynamic predictors for seismic b-value variations in the Groningen gas field,2022,TNO Repository,,openalex,RC-4855,Statistical analysis of static and dynamic predictors for seismic<i>b</i>-value variations in the Groningen gas field,2022,Netherlands Journal of Geosciences – Geologie en Mijnbouw,10.1017/njg.2022.15,openalex
0.9823,,,,RC-3730,On the attractor in high-dimensional neural network dynamics of reservoir computing: A Lyapunov analysis viewpoint,2026,Chaos An Interdisciplinary Journal of Nonlinear Science,10.1063/5.0315384,arxiv|openalex,RC-5957,On the attractor in a high-dimensional neural network dynamics of reservoir computing: Lyapunov analysis viewpoint,2025,arXiv,,arxiv
0.9802,,,,RC-3858,Compact Optical Reservoir Computing via Luminescence Dynamics in Rare‐Earth Ions‐Doped Nanocrystals,2025,Advanced Science,10.1002/advs.202517334,arxiv|openalex,RC-5944,Compact All optical Reservoir Computing via Luminescence Dynamics in Rare-earth Ions-doped Nanocrystals,2025,arXiv,,arxiv
0.9785,,,,RC-3514,The Role of Entanglement in Quantum Reservoir Computing with Coupled Kerr Nonlinear Oscillators,2025,arXiv,10.11575/prism/50808,arxiv|openalex,RC-3549,Role of entanglement in quantum reservoir computing with coupled Kerr nonlinear oscillators,2026,Physical Review A,10.1103/vwn7-y9vj,openalex
0.975,,,,RC-2276,Sequential Learning from Noisy Data: Data-Assimilation Meets the Echo-State Network,2023,arXiv (Cornell University),10.1109/cdc49753.2023.10383680,arxiv|openalex,RC-5783,Sequential Learning from Noisy Data: Data-Assimilation Meets Echo-State Network,2023,arXiv (Cornell University),10.48550/arxiv.2304.00198,arxiv|openalex
0.9735,,,,RC-1808,Photonic implementation of the input and reservoir layers for a reservoir computing system based on a single VCSEL with two Mach-Zehnder modulators,2024,Optics Express,10.1364/oe.522336,openalex,RC-4054,Photonic implementation of the input and reservoir layers for a reservoir computing system based on a single VCSEL with two Mach-Zehnder modulators: erratum,2024,Optics Express,10.1364/oe.551214,openalex
0.973,,,,RC-2551,A new physical reservoir using the complex dynamics of electric fields in type-II superconductors containing pinning centers interacting with quantized magnetic flux lines,2024,Physica C Superconductivity,10.1016/j.physc.2024.1354522,openalex,RC-4016,A New Physical Reservoir Using the Complex Dynamics of Electric Fields in Type-Ii Superconductors Containing Pinning Centers Interacting with Quantized Flux Lines,2024,SSRN Electronic Journal,10.2139/ssrn.4705859,openalex
0.9714,,,,RC-3396,The effects of dissipation in reservoir computing using spin qubit array,2024,,10.7567/ssdm.2024.ps-09-01,openalex,RC-6314,Effects of dissipation in reservoir computing using spin qubit array,2025,Japanese Journal of Applied Physics,10.35848/1347-4065/adbf9e,arxiv|openalex
0.9707,,,,RC-0064,Intrinsic Disordered Network in Multiferroic YMnO3 Single Crystals for In-Materio Physical Reservoir Computing Through Tuneable Domain-Wall Structure,2025,,,openalex,RC-2125,Intrinsic Disordered Network in Multiferroic YMnO <sub>3</sub> Single Crystals for In‐Materio Physical Reservoir Computing Through Tuneable Domain‐Wall Structure,2025,Small,10.1002/smll.202506397,openalex
0.9689,,,,RC-3606,RCNet: Incorporating Structural Information Into Deep RNN for Online MIMO-OFDM Symbol Detection With Limited Training,2021,IEEE Transactions on Wireless Communications,10.1109/twc.2021.3051317,arxiv|openalex,RC-5691,RCNet: Incorporating Structural Information into Deep RNN for MIMO-OFDM Symbol Detection with Limited Training,2020,arXiv (Cornell University),10.48550/arxiv.2003.06923,arxiv|openalex
0.9682,,,,RC-0061,Dynamic Monolayer WSe2 Electrolyte-Gated Transistor with Coexistent Double Relaxation Timescale for Enhanced Physical Reservoir Computing,2025,RWTH Publications (RWTH Aachen),,openalex,RC-1387,Dynamic Monolayer WSe<sub>2</sub> Electrolyte‐Gated Transistor with Coexistent Double Relaxation Timescale for Enhanced Physical Reservoir Computing,2025,Small,10.1002/smll.202504066,openalex
0.9677,,,,RC-0413,Dynamic memristor-based reservoir computing for high-efficiency temporal signal processing,2021,Nature Communications,10.1038/s41467-020-20692-1,openalex,RC-3677,Dynamic Memristor-based Reservoir Computing for High-Efficiency Spatiotemporal Signal Processing,2020,Research Square,10.21203/rs.3.rs-40717/v1,openalex
0.9677,,,,RC-4760,Data-driven performance measures using global properties of attractors for testing black-box surrogate models of chaotic systems,2025,Chaos An Interdisciplinary Journal of Nonlinear Science,10.1063/5.0283424,arxiv|openalex,RC-5925,Data-Driven Performance Measures using Global Properties of Attractors for Black-Box Surrogate Models of Chaotic Systems,2025,arXiv (Cornell University),10.48550/arxiv.2506.09546,arxiv|openalex
0.9661,,,,RC-3998,Quantum reservoir complexity by the Krylov evolution approach,2024,Physical Review A,10.1103/physreva.110.022446,arxiv|openalex,RC-5809,Quantum reservoir complexity by Krylov evolution approach,2023,arXiv (Cornell University),10.48550/arxiv.2310.00790,arxiv|openalex
0.9658,,,,RC-0284,Memristive devices based on necklace-like structure Ag@TiO2 nanowire networks for neuromorphic learning and reservoir computing,2024,Universiti Putra Malaysia Institutional Repository (Universiti Putra Malaysia),,openalex,RC-2064,Memristive Devices Based on Necklace-like Structure Ag@TiO<sub>2</sub> Nanowire Networks for Neuromorphic Learning and Reservoir Computing,2024,ACS Applied Nano Materials,10.1021/acsanm.4c04063,openalex
0.9649,,,,RC-0271,[Invited] Assessing electron transport through 2D molecule-nanoparticle networks for reservoir computing sensing,2021,HAL (Le Centre pour la Communication Scientifique Directe),,openalex,RC-0280,[Invited] Assessing electron transport through 2D molecule-nanoparticle networks for reservoir computing sensing (Invited),2020,HAL (Le Centre pour la Communication Scientifique Directe),,openalex
0.9649,,,,RC-0417,In materia reservoir computing with a fully memristive architecture based on self-organizing nanowire networks,2021,Nature Materials,10.1038/s41563-021-01099-9,openalex,RC-3820,In materia reservoir computing with a fully memristive architecture based on self-organizing nanowire networks - Dataset,2021,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.5153334,openalex
0.9623,,,,RC-0271,[Invited] Assessing electron transport through 2D molecule-nanoparticle networks for reservoir computing sensing,2021,HAL (Le Centre pour la Communication Scientifique Directe),,openalex,RC-3748,Assessing electron transport through 2D molecule-nanoparticle networks for reservoir computing sensing,2020,HAL (Le Centre pour la Communication Scientifique Directe),10.1117/12.2567214,openalex
0.9604,,,,RC-0444,In materia implementation strategies of physical reservoir computing with memristive nanonetworks,2023,Journal of Physics D Applied Physics,10.1088/1361-6463/acb7ff,openalex,RC-2730,In materia implementation strategies of physical reservoir computing with memristive nanonetworks - Dataset,2023,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.7499746,openalex
0.959,,,,RC-0056,Multimodal object recognition and real-time anomaly detection by physical reservoir computing using an Ag2S reservoir,2025,Institutional Repositories DataBase (IRDB),,openalex,RC-2023,Multimodal object recognition and real-time anomaly detection by physical reservoir computing using an Ag<sub>2</sub>S reservoir,2025,Japanese Journal of Applied Physics,10.35848/1347-4065/adb75b,openalex
0.9583,,,,RC-1141,All-optical echo state network reservoir computing,2025,Physical Review Research,10.1103/3b3z-29f4,arxiv|openalex,RC-5902,Optical Echo State Network Reservoir Computing,2025,arXiv (Cornell University),10.48550/arxiv.2504.08224,arxiv|openalex
0.9576,,,,RC-2125,Intrinsic Disordered Network in Multiferroic YMnO <sub>3</sub> Single Crystals for In‐Materio Physical Reservoir Computing Through Tuneable Domain‐Wall Structure,2025,Small,10.1002/smll.202506397,openalex,RC-3069,Intrinsic Disordered Network in Multiferroic YMnO <sub>3</sub> Single Crystals for In‐Materio Physical Reservoir Computing Through Tuneable Domain‐Wall Structure (Small 48/2025),2025,Small,10.1002/smll.71539,openalex
0.9569,,,,RC-0054,Physical Reservoir Computing on Atomic Switch Arrays with High Precision and Excellent Memory Characteristics,2021,The Japan Society of Applied Physics,,openalex,RC-2012,Reservoir Computing on Atomic Switch Arrays with High Precision and Excellent Memory Characteristics,2021,Journal of Signal Processing,10.2299/jsp.25.123,openalex
0.9558,,,,RC-0552,Classical and Quantum Physical Reservoir Computing for Onboard Artificial Intelligence Systems: A Perspective,2024,Dynamics,10.3390/dynamics4030033,arxiv|openalex,RC-2750,"Review of ""Classical and Quantum Physical Reservoir Computing for Onboard Artificial Intelligence Systems: A Perspective""",2025,,10.14293/s2199-1006.1.sor-uncat.asz2jp.v1.rexzsh,openalex
0.9549,,,,RC-3974,Referee report. For: Deep Learning based hybrid residual attention and echo state network for high-accuracy heart disease prediction [version 1; peer review: 1 approved with reservations],2025,Faculty of 1000 Research Ltd,10.5256/f1000research.182263.r401540,openalex,RC-4034,"Referee report. For: Deep Learning based hybrid residual attention and echo state network for high-accuracy heart disease prediction [version 1; peer review: 2 approved with reservations, 1 not approved]",2025,Faculty of 1000 Research Ltd,10.5256/f1000research.182263.r403945,openalex
0.9537,,,,RC-3035,Machine learning emulator for physics-based prediction of ionospheric potential response to solar wind variations,2023,Earth Planets and Space,10.1186/s40623-023-01896-3,openalex,RC-3306,Machine learning emulator for physics-based prediction of ionospheric response to solar wind variations,2023,,10.22541/essoar.167397423.39654060/v1,openalex
0.9532,,,,RC-2664,Systems Identification and Next-Generation Reservoir Computing for Modeling Micro Gas Turbine Engine Performance,2025,,10.2514/6.2025-0332,openalex,RC-2669,Correction: Systems Identification and Next-Generation Reservoir Computing for Modeling Micro Gas Turbine Engine Performance,2025,,10.2514/6.2025-0332.c1,openalex
0.9524,,,,RC-3913,Interfacial and Bulk Switching MoS <sub>2</sub> Memristors for an All-2D Reservoir Computing Framework,2026,ACS Applied Electronic Materials,10.1021/acsaelm.6c00504,arxiv|openalex,RC-5982,Interfacial and bulk switching MoS2 memristors for an all-2D reservoir computing framework,2025,arXiv,,arxiv
0.9516,,,,RC-2243,<tt>conn2res</tt> : A toolbox for connectome-based reservoir computing,2023,bioRxiv (Cold Spring Harbor Laboratory),10.1101/2023.05.31.543092,openalex,RC-2350,conn2res: A toolbox for connectome-based reservoir computing,2023,Research Square,10.21203/rs.3.rs-3084265/v1,openalex
0.9516,,,,RC-4036,Self-similarity Analysis and Application of Network Traffic,2019,"Lecture notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering",10.1007/978-3-030-28468-8_9,openalex,RC-5179,Self-Similarity Analysis and Application of Water Network Traffic,2019,,10.1109/bigdataservice.2019.00045,openalex
0.95,,,,RC-1874,RETRACTED ARTICLE: Enhancing Financial Risk Prediction Through Echo State Networks and Differential Evolutionary Algorithms in the Digital Era,2024,Journal of the Knowledge Economy,10.1007/s13132-024-02084-8,openalex,RC-3400,Retraction Note: Enhancing Financial Risk Prediction Through Echo State Networks and Differential Evolutionary Algorithms in the Digital Era,2025,Journal of the Knowledge Economy,10.1007/s13132-025-02991-4,openalex
0.9495,,,,RC-2569,Multi-Model Ensemble and Reservoir Computing for Efficient River Discharge Prediction in Ungauged Basins,2025,,10.5194/egusphere-egu25-14726,openalex,RC-5934,Multi-Model Ensemble and Reservoir Computing for River Discharge Prediction in Ungauged Basins,2025,arXiv (Cornell University),10.48550/arxiv.2507.18423,arxiv|openalex
0.9478,,,,RC-1047,State observer-based fuzzy echo state network sliding mode control for uncertain strict-feedback chaotic systems without backstepping,2022,Chaos Solitons & Fractals,10.1016/j.chaos.2022.112442,openalex,RC-3596,State Observer-Based Fuzzy Echo State Network Sliding Mode Control for Uncertain Strict-Feedback Nonlinear Systems Without Backstepping,2022,SSRN Electronic Journal,10.2139/ssrn.4016958,openalex
0.9461,,,,RC-5005,Vacuum Intelligence Architecture Specification: Event-Driven Analog Memristor Optimal Power/Flow Solver Integration,2026,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.20669318,openalex,RC-5594,Vacuum Intelligence Architecture Specification: Event-Driven Analog Memristor Optimal Power/Flow Solver Integration (VIA-SPEC-001),2026,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.20263930,openalex
