record_id,no_abstract,title,abstract,doi,eligible,family_abstract,family,family_symmetric,subclass,hybrid,reason,minutes
RC-1144,,Physical Reservoir Computing for Real‐Time Electrocardiogram Arrhythmia Detection Through Controlled Ion Dynamics in Electrochemical Random‐Access Memory,"Abstract From the perspective of developing low‐power mobile healthcare devices capable of real‐time electrogram diagnosis, memristor‐based physical reservoir computing (PRC) offers a promising alternative to conventional deep neural network (DNN)‐based systems. Here, real‐time electrocardiogram (ECG) monitoring and arrhythmia detection are demonstrated using electrochemical random‐access memory (ECRAM)‐based PRC. ECRAM devices provide the millisecond‐range temporal resolution required for bio‐potential signals like ECG. Through material and process engineering, it is identified that higher ionic conductivity (σ ion ) in the electrolyte layer and lower ionic diffusivity (D ion ) in the channel layer are crucial for achieving non‐linear dynamics and fading memory characteristics. In addition, LaF 3 /WO x ‐based ECRAM exhibits low‐power operation (≈300 pW spike −1 ) with minimal cycle‐to‐cycle (CTC) variation (&lt;10%). Arrhythmia detection tests confirmed the feasibility of real‐time ECG monitoring, achieving a high classification accuracy of 93.04% with a 50‐fold reduction in training parameters compared to DNN‐based systems. Therefore, the developed LaF 3 /WO x ‐based ECRAM with engineering guidelines of ion dynamics makes a significant contribution to mobile healthcare systems for electrogram diagnosis.",10.1002/aelm.202400920,,,,,,,,
RC-2087,,Energy-Efficient Edge and Cloud Image Classification with Multi-Reservoir Echo State Network and Data Processing Units,"In an era dominated by Internet of Things (IoT) devices, software-as-a-service (SaaS) platforms, and rapid advances in cloud and edge computing, the demand for efficient and lightweight models suitable for resource-constrained devices such as data processing units (DPUs) has surged. Traditional deep learning models, such as convolutional neural networks (CNNs), pose significant computational and memory challenges, limiting their use in resource-constrained environments. Echo State Networks (ESNs), based on reservoir computing principles, offer a promising alternative with reduced computational complexity and shorter training times. This study explores the applicability of ESN-based architectures in image classification and weather forecasting tasks, using benchmarks such as the MNIST, FashionMnist, and CloudCast datasets. Through comprehensive evaluations, the Multi-Reservoir ESN (MRESN) architecture emerges as a standout performer, demonstrating its potential for deployment on DPUs or home stations. In exploiting the dynamic adaptability of MRESN to changing input signals, such as weather forecasts, continuous on-device training becomes feasible, eliminating the need for static pre-trained models. Our results highlight the importance of lightweight models such as MRESN in cloud and edge computing applications where efficiency and sustainability are paramount. This study contributes to the advancement of efficient computing practices by providing novel insights into the performance and versatility of MRESN architectures. By facilitating the adoption of lightweight models in resource-constrained environments, our research provides a viable alternative for improved efficiency and scalability in modern computing paradigms.",10.3390/s24113640,,,,,,,,
RC-3902,,Performance Improvement of Single-Electron Reservoir Computing Circuit with Multiple-Tunnel-Junction Single Electron Oscillator,"We designed the single-electron (SE) reservoir computing (RC) circuit using multiple-tunnel-junction SE oscillators (MJSEOs), which was compared to a previous SE RC circuit that utilized standard SEOs. The learning performance of the circuits was evaluated by root-mean-square error (RMSE), and it was found that the SE RC circuit with MJSEOs showed superior performance for waveform prediction than the SE RC circuit with SEOs.",10.23919/snw57900.2023.10183945,,,,,,,,
RC-3641,,In-materio computing in random networks of carbon nanotubes complexed with chemically dynamic molecules: a review,"Abstract The need for highly energy-efficient information processing has sparked a new age of material-based computational devices. Among these, random networks (RNWs) of carbon nanotubes (CNTs) complexed with other materials have been extensively investigated owing to their extraordinary characteristics. However, the heterogeneity of CNT research has made it quite challenging to comprehend the necessary features of in-materio computing in a RNW of CNTs. Herein, we systematically tackle the topic by reviewing the progress of CNT applications, from the discovery of individual CNT conduction to their recent uses in neuromorphic and unconventional (reservoir) computing. This review catalogues the extraordinary abilities of random CNT networks and their complexes used to conduct nonlinear in-materio computing tasks as well as classification tasks that may replace current energy-inefficient systems.",10.1088/2634-4386/ac676a,,,,,,,,
RC-1684,1,Dynamic Clustering of Time Series with Echo State Networks,,10.1007/978-3-030-20518-8_7,,,,,,,,
RC-0057,,Echo State Networks for Reinforcement Learning.,"Echo State Networks (ESNs) are a type of single-layer recurrent neural network with randomly-chosen internal weights and a trainable output layer. We prove under mild conditions that a sufficiently large Echo State Network (ESN) can approximate the value function of a broad class of stochastic and deterministic control problems. Such control problems are generally non-Markovian. We describe how the ESN can form the basis for novel (and computationally efficient) reinforcement learning algorithms in a non-Markovian framework. We demonstrate this theory with two examples. In the first, we use an ESN to solve a deterministic, partially observed, control problem which is a simple game we call `Bee World'. In the second example, we consider a stochastic control problem inspired by a market making problem in mathematical finance. In both cases we can compare the dynamics of the algorithms with analytic solutions to show that even after only a single reinforcement policy iteration the algorithms perform with reasonable skill.",,,,,,,,,
RC-6267,,Signals to Spikes for Neuromorphic Regulated Reservoir Computing and EMG Hand Gesture Recognition,"Surface electromyogram (sEMG) signals result from muscle movement and hence they are an ideal candidate for benchmarking event-driven sensing and computing. We propose a simple yet novel approach for optimizing the spike encoding algorithm’s hyper-parameters inspired by the readout layer concept in reservoir computing. Using a simple machine learning algorithm after spike encoding, we report performance higher than the state-of-the-art spiking neural networks on two open-source datasets for hand gesture recognition. The spike encoded data is processed through a spiking reservoir with a biologically inspired topology and neuron model. When trained with the unsupervised activity regulation CRITICAL algorithm to operate at the edge of chaos, the reservoir yields better performance than state-of-the-art convolutional neural networks. The reservoir performance with regulated activity was found to be 89.72% for the Roshambo EMG dataset and 70.6% for the EMG subset of sensor fusion dataset. Therefore, the biologically-inspired computing paradigm, which is known for being power efficient, also proves to have a great potential when compared with conventional AI algorithms.",10.1145/3477145.3477267,,,,,,,,
RC-5983,,Reservoir neuromorphic computing based on spin-orbit coupling in an organic crystal resonator,"Neuromorphic computing is at the basis of the recent progress in artificial intelligence. But the progress is accompanied with increasing demands in computational resources and power supply. Reservoir neuromorphic computing uses a non-linear physical system to replace a part of a large neural network. The advantages can include reduced power consumption and faster learning. We show that the interference in an organic crystal waveguide resonator leads to efficient separation of optical patterns, allowing a significant reduction of the size of the neural network and an acceleration of the learning process. For more complex symbols, extending the reservoir output dimension thanks to spin-orbit coupling, we achieve a 10-times reduction of the network size and a 3-fold speedup. Our work suggests a general path for the performance improvement of photonic reservoir computing systems.",2511.23155,,,,,,,,
RC-2119,,A mean-field approach to criticality in spiking neural networks for reservoir computing,"Spiking Neural Networks (SNNs) exhibit their optimal information-processing capability at the edge of chaos, but tuning them to this critical regime in reservoir-computing architectures usually relies on costly trial-and-error or plasticity-driven adaptation. This work presents an analytical framework for configuring in the critical regime a SNN-based reservoir with a highly general topology. Specifically, we derive and solve a mean-field equation that governs the evolution of the average membrane potential in leaky integrate-and-fire neurons, and provide an approximation for the critical point. This framework reduces the need for an extensive online fine-tuning, offering a streamlined path to near-optimal network performance from the outset. Through extensive numerical experiments, we validate the theoretical predictions by analyzing the network's spiking dynamics and quantifying its computational capacity using the information-based Lempel-Ziv-Welch complexity near criticality. Finally, we explore self-organized quasi-criticality by implementing a local homeostatic learning rule for synaptic weights, demonstrating that the network's dynamics remain close to the theoretical critical point. Beyond AI, our approach and findings also have significant implications for computational neuroscience, providing a principled framework for quantitatively understanding how (neuro)biological networks exploit criticality for efficient information processing. The paper is accompanied by Python code, enabling the reproducibility of the findings.",10.1038/s41598-025-18004-y,,,,,,,,
RC-2208,,Incremental Input-to-State Stability criterion for adaptive Echo State Network systems,This paper presents a novel controller design strategy for an adaptive leaky-integrator Echo State Network (ESN) system based on the incremental input-to-state stability criterion. The online learning approach with the leaky-integrator echo state network system is developed through the recursive least square (RLS) algorithm. The controller design methods are derived and represented by a set of linear matrix inequality conditions. The effectiveness of the proposed controller design conditions is illustrated via a simulation example.,10.1016/j.ifacol.2025.09.558,,,,,,,,
